course_code,course_name,credits,grade,semester
INB372,International Business,3,F,Spring2019
MKT202,Introduction to Marketing,3,A-,Spring2019
MIS107,Introduction to Computers,3,B+,Spring2019
ECO101,Intro to Microeconomics,3,C+,Spring2019
ACT201,Intro to Financial Accounting,3,A,Spring2019
LAW200,Legal Environment of Business,3,B-,Summer2019
MIS207,Management Information Systems,3,B-,Summer2019
INB372,International Business,3,C+,Summer2019
BUS251,Business Communication,3,B+,Summer2019
ACT202,Intro to Managerial Accounting,3,C-,Summer2019
MGT368,Entrepreneurship,3,A-,Fall2019
MGT212,Principles of Management,3,D,Fall2019
ENG115,English Literature,3,C+,Fall2019
ECO104,Intro to Macroeconomics,3,A,Fall2019
PAD201,Public Administration,3,B+,Spring2020
POL104,Political Science,3,C+,Spring2020
SOC101,Intro to Sociology,3,B+,Spring2020
ENV107,Environmental Science,3,B+,Summer2020
ENV107L,Environmental Science Lab,1,C,Summer2020
BIO103,Biology I,3,C-,Summer2020
BIO103L,Biology I Lab,1,C,Summer2020
PHY107,Physics I,3,B-,Summer2020
PHY107L,Physics I Lab,1,D,Summer2020
PHI401,Ethics / Philosophy,3,C+,Summer2020
HIS205,Modern History,3,D+,Fall2020
HIS103,History of South Asia,3,C+,Fall2020
HIS101,Bangladesh History,3,B,Fall2020
ECO348,Mathematical Economics,3,C,Fall2020
HIS102,World Civilization,3,D+,Fall2020
ECO244,Economic Development,3,B-,Spring2021
ECO204,Intermediate Macroeconomics,3,B+,Spring2021
ECO301,Monetary Economics,3,B,Spring2021
ECO304,International Economics,3,B,Summer2021
ECO201,Intermediate Microeconomics,3,D+,Summer2021
ECO354,Advanced Microeconomics,3,C,Summer2021
ECO317,Public Economics,3,C,Fall2021
ECO450,Game Theory,3,D+,Fall2021
ECO441,Labor Economics,3,D,Fall2021
ECO410,Development Economics,3,B+,Fall2021
ECO415,Public Finance,3,C,Fall2021
ECO460,International Trade,3,A-,Spring2022
ECO328,Econometrics,3,A,Spring2022
BUS498,Internship,4,A-,Fall2023
