course_code,course_name,credits,grade,semester
CSE115,Programming Language I,3,C+,Fall2022
MAT116,Pre-Calculus,3,D+,Fall2022
CSE101,Introduction to Python Programming,3,D,Fall2022
CSE173,Discrete Mathematics,3,A-,Spring2023
MAT120,Calculus I,3,A-,Spring2023
PHY108,Physics II,3,C,Spring2023
PHY108L,Physics II Lab,1,C+,Spring2023
PHY107L,Physics I Lab,1,B,Spring2023
EEE111L,Analog Electronics I Lab,1,D,Spring2023
CSE215,Programming Language II,3,C-,Summer2023
CSE215L,Programming Language II Lab,1,A,Summer2023
MAT130,Calculus II,3,B,Summer2023
CSE226,Fundamentals of Vibe Coding,3,B+,Summer2023
CSE225,Data Structures & Algorithms,3,B-,Fall2023
CSE225L,Data Structures & Algorithms Lab,1,W,Fall2023
MAT250,Calculus III,3,C-,Fall2023
PHY107,Physics I,3,A,Fall2023
