course_code,course_name,credits,grade,semester
ACT201,Intro to Financial Accounting,3,B-,Spring2022
MIS107,Introduction to Computers,3,B,Spring2022
MKT202,Introduction to Marketing,3,A,Spring2022
ACT202,Intro to Managerial Accounting,3,B,Summer2022
INB372,International Business,3,B,Summer2022
LAW200,Legal Environment of Business,3,C-,Summer2022
BUS251,Business Communication,3,B,Summer2022
MGT212,Principles of Management,3,B+,Fall2022
ECO101,Intro to Microeconomics,3,W,Fall2022
PHI401,Ethics / Philosophy,3,C+,Fall2022
ENG103,Intermediate Composition,3,A-,Fall2022
ENG105,Advanced Composition,3,W,Spring2023
ENG115,English Literature,3,F,Spring2023
ECO101,Intro to Microeconomics,3,B-,Spring2023
BEN205,Bengali Literature,3,B-,Spring2023
MIS207,Management Information Systems,3,C,Summer2023
ECO104,Intro to Macroeconomics,3,D,Summer2023
