course_code,course_name,credits,grade,semester
ENG103,Intermediate Composition,3,C-,Summer2019
MIS107,Introduction to Computers,3,A,Summer2019
BUS251,Business Communication,3,C-,Summer2019
MKT202,Introduction to Marketing,3,C-,Summer2019
INB372,International Business,3,B,Fall2019
LAW200,Legal Environment of Business,3,B,Fall2019
MGT212,Principles of Management,3,A,Spring2020
MIS207,Management Information Systems,3,B,Spring2020
ECO101,Intro to Microeconomics,3,B,Summer2020
ACT201,Intro to Financial Accounting,3,C-,Summer2020
MGT368,Entrepreneurship,3,A-,Summer2020
