course_code,course_name,credits,grade,semester
MAT120,Calculus I,3,B,Spring2019
CSE115,Programming Language I,3,B,Spring2019
CSE115L,Programming Language I Lab,1,B+,Spring2019
CSE311L,Database Management Systems Lab,1,C+,Spring2019
CSE173,Discrete Mathematics,3,B-,Summer2019
MAT130,Calculus II,3,B+,Summer2019
CSE225L,Data Structures & Algorithms Lab,1,C+,Summer2019
CSE215,Programming Language II,3,A-,Fall2019
MAT250,Calculus III,3,B,Fall2019
EEE111,Analog Electronics I,3,B-,Fall2019
EEE111L,Analog Electronics I Lab,1,A,Fall2019
CSE425,Concepts of Programming Languages,3,B,Fall2019
CSE101,Introduction to Python Programming,3,B-,Fall2019
CSE225,Data Structures & Algorithms,3,C+,Spring2020
CSE215L,Programming Language II Lab,1,B,Spring2020
BIO103L,Biology I Lab,1,C+,Spring2020
CSE231,Digital Logic Design,3,C,Summer2020
CSE231L,Digital Logic Design Lab,1,B,Summer2020
CSE231L,Digital Logic Design Lab,1,B,Summer2020
CSE331L,Microprocessor Interfacing Lab,1,B+,Summer2020
EEE141L,Electrical Circuits I Lab,1,A-,Summer2020
CHE101L,Chemistry I Lab,1,A,Summer2020
CSE332,Computer Organization & Architecture,3,C,Fall2020
CSE299,Junior Design Project,1,B+,Fall2020
CHE101,Chemistry I,3,B+,Fall2020
CSE311,Database Management Systems,3,C+,Spring2021
CSE323,Operating Systems Design,3,C+,Spring2021
MAT361,Discrete Mathematics II,3,B,Spring2021
ENG103,Intermediate Composition,3,C,Spring2021
BIO103,Biology I,3,B-,Spring2021
CSE327,Software Engineering,3,B-,Summer2021
CSE331,Microprocessor Interfacing,3,A-,Summer2021
SOC101,Intro to Sociology,3,C,Summer2021
PHY107,Physics I,3,B-,Summer2021
PHY107L,Physics I Lab,1,A-,Summer2021
PHY108L,Physics II Lab,1,B,Summer2021
CSE373,Design & Analysis of Algorithms,3,B+,Fall2021
EEE141,Electrical Circuits I,3,C,Fall2021
ECO101,Intro to Microeconomics,3,B,Fall2021
MAT125,Linear Algebra,3,B-,Spring2022
MAT350,Complex Variables,3,A-,Spring2022
CEE110,Engineering Drawing,1,A-,Spring2022
CSE145,Introduction to Artificial Intelligence,3,B,Spring2022
