course_code,course_name,credits,grade,semester
ACT201,Intro to Financial Accounting,3,A-,Spring2019
ENG103,Intermediate Composition,3,W,Spring2019
BUS251,Business Communication,3,B,Spring2019
ECO101,Intro to Microeconomics,3,B,Spring2019
MKT202,Introduction to Marketing,3,C,Summer2019
ACT202,Intro to Managerial Accounting,3,C,Summer2019
ENG103,Intermediate Composition,3,D,Summer2019
MIS107,Introduction to Computers,3,B-,Summer2019
MIS207,Management Information Systems,3,C,Fall2019
ECO104,Intro to Macroeconomics,3,D+,Fall2019
INB372,International Business,3,D+,Fall2019
ENG105,Advanced Composition,3,D+,Fall2019
LAW200,Legal Environment of Business,3,A-,Fall2019
PHI401,Ethics / Philosophy,3,A-,Spring2020
BEN205,Bengali Literature,3,B+,Spring2020
MGT212,Principles of Management,3,C+,Spring2020
PAD201,Public Administration,3,B,Summer2020
SOC101,Intro to Sociology,3,B-,Summer2020
POL101,Intro to Political Science,3,W,Summer2020
PSY101,Intro to Psychology,3,C,Fall2020
PSY101L,Psychology Lab,1,D,Fall2020
MGT368,Entrepreneurship,3,F,Fall2020
PHY107,Physics I,3,A-,Fall2020
PHY107L,Physics I Lab,1,B-,Fall2020
BIO103,Biology I,3,D,Fall2020
BIO103L,Biology I Lab,1,B-,Fall2020
HIS101,Bangladesh History,3,C+,Spring2021
SCM320,Procurement and Inventory,3,F,Spring2021
HIS103,History of South Asia,3,B,Spring2021
HIS102,World Civilization,3,B-,Spring2021
MGT368,Entrepreneurship,3,B,Spring2021
MGT460,Logistics Management,3,C,Summer2021
MGT390,Warehouse Management,3,F,Summer2021
SCM450,Supply Chain Analytics,3,C-,Summer2021
MGT360,Global Supply Chain,3,B+,Summer2021
MGT390,Warehouse Management,3,B,Fall2021
SCM310,Supply Chain Management,3,B,Fall2021
SCM320,Procurement and Inventory,3,D+,Fall2021
MGT470,Quality Management,3,B,Fall2021
MGT490,Project Management,3,B,Spring2022
