course_code,course_name,credits,grade,semester
LAW200,Legal Environment of Business,3,B+,Spring2021
INB372,International Business,3,C-,Spring2021
MIS107,Introduction to Computers,3,B-,Spring2021
MIS207,Management Information Systems,3,A,Spring2021
MGT212,Principles of Management,3,C+,Spring2021
BUS251,Business Communication,3,B,Summer2021
MKT202,Introduction to Marketing,3,A,Summer2021
ECO101,Intro to Microeconomics,3,B+,Summer2021
ECO104,Intro to Macroeconomics,3,A-,Fall2021
ACT201,Intro to Financial Accounting,3,A-,Fall2021
MGT368,Entrepreneurship,3,B-,Fall2021
CSE327,Software Engineering,3,B-,Spring2022
BIO103,Biology I,3,D+,Spring2022
BIO103L,Biology I Lab,1,B-,Spring2022
ENG111,Public Speaking,3,C,Spring2022
CSE425,Concepts of Programming Languages,3,C,Spring2022
BIO103L,Biology I Lab,1,D+,Spring2022
CSE226,Fundamentals of Vibe Coding,3,B,Summer2022
CSE115,Programming Language I,3,D+,Summer2022
CSE115L,Programming Language I Lab,1,C+,Summer2022
PHY108L,Physics II Lab,1,A-,Summer2022
CSE173,Discrete Mathematics,3,F,Fall2022
EEE141,Electrical Circuits I,3,B-,Fall2022
EEE141L,Electrical Circuits I Lab,1,B,Fall2022
MAT125,Linear Algebra,3,B-,Fall2022
CSE299,Junior Design Project,1,D+,Spring2023
EEE111,Analog Electronics I,3,D+,Spring2023
EEE111L,Analog Electronics I Lab,1,B,Spring2023
CSE231L,Digital Logic Design Lab,1,A-,Spring2023
CSE331L,Microprocessor Interfacing Lab,1,C+,Summer2023
EEE452,Engineering Economics,3,B,Summer2023
CHE101,Chemistry I,3,A-,Summer2023
CHE101L,Chemistry I Lab,1,C+,Summer2023
PHI104,Introduction to Ethics,3,C+,Summer2023
CSE173,Discrete Mathematics,3,A,Fall2023
PHY107L,Physics I Lab,1,C,Fall2023
CSE215L,Programming Language II Lab,1,D,Fall2023
ENG103,Intermediate Composition,3,C,Fall2023
HIS102,World Civilization,3,A,Spring2024
PHY108,Physics II,3,C-,Spring2024
CSE225L,Data Structures & Algorithms Lab,1,B+,Spring2024
CSE215,Programming Language II,3,B+,Spring2024
CSE331,Microprocessor Interfacing,3,B,Spring2024
CSE311L,Database Management Systems Lab,1,B,Summer2024
ENG105,Advanced Composition,3,A-,Summer2024
CSE499A,Senior Capstone Design I,2,A-,Summer2024
CSE145,Introduction to Artificial Intelligence,3,C-,Summer2024
CSE225,Data Structures & Algorithms,3,B-,Summer2024
