course_code,course_name,credits,grade,semester
MAT120,Calculus I,3,B-,Spring2020
CSE115,Programming Language I,3,B-,Spring2020
CSE115L,Programming Language I Lab,1,A,Spring2020
CSE425,Concepts of Programming Languages,3,B,Spring2020
EEE111L,Analog Electronics I Lab,1,A-,Spring2020
CHE101L,Chemistry I Lab,1,A,Spring2020
CSE173,Discrete Mathematics,3,A,Summer2020
MAT130,Calculus II,3,B-,Summer2020
BIO103,Biology I,3,B+,Summer2020
BIO103L,Biology I Lab,1,B,Summer2020
ECO104,Intro to Macroeconomics,3,A-,Summer2020
CSE215,Programming Language II,3,A,Fall2020
CSE215L,Programming Language II Lab,1,A,Fall2020
MAT250,Calculus III,3,A-,Fall2020
MAT125,Linear Algebra,3,A-,Fall2020
HIS102,World Civilization,3,B+,Fall2020
CSE327,Software Engineering,3,A-,Fall2020
EEE141,Electrical Circuits I,3,A,Fall2020
EEE141L,Electrical Circuits I Lab,1,B+,Fall2020
CSE225,Data Structures & Algorithms,3,B,Spring2021
CSE225L,Data Structures & Algorithms Lab,1,A-,Spring2021
CSE225L,Data Structures & Algorithms Lab,1,B+,Spring2021
EEE452,Engineering Economics,3,A,Spring2021
CSE145,Introduction to Artificial Intelligence,3,B,Spring2021
SOC101,Intro to Sociology,3,B+,Spring2021
ENV203,Environmental Studies,3,A,Spring2021
CSE231,Digital Logic Design,3,B,Summer2021
CSE231L,Digital Logic Design Lab,1,B+,Summer2021
CSE231L,Digital Logic Design Lab,1,A,Summer2021
MAT361,Discrete Mathematics II,3,A-,Summer2021
ENG103,Intermediate Composition,3,B,Summer2021
CSE332,Computer Organization & Architecture,3,A,Fall2021
CSE299,Junior Design Project,1,B,Fall2021
CHE101,Chemistry I,3,B,Fall2021
MAT350,Complex Variables,3,A-,Fall2021
CSE311,Database Management Systems,3,B+,Spring2022
CSE311L,Database Management Systems Lab,1,A-,Spring2022
CSE311L,Database Management Systems Lab,1,A-,Spring2022
POL101,Intro to Political Science,3,C+,Spring2022
PHY108,Physics II,3,B+,Spring2022
PHY108L,Physics II Lab,1,A,Spring2022
CSE323,Operating Systems Design,3,B+,Summer2022
CSE331,Microprocessor Interfacing,3,B+,Summer2022
CSE331L,Microprocessor Interfacing Lab,1,B+,Summer2022
HIS101,Bangladesh History,3,A,Summer2022
ENG111,Public Speaking,3,B+,Summer2022
CSE461,Robotics,3,B-,Summer2022
PHY107,Physics I,3,A-,Summer2022
CSE499A,Senior Capstone Design I,2,A-,Fall2022
CSE373,Design & Analysis of Algorithms,3,B+,Fall2022
CSE445,Computer Vision,3,B+,Fall2022
CSE101,Introduction to Python Programming,3,A-,Fall2022
EEE111,Analog Electronics I,3,B-,Spring2023
PHY107L,Physics I Lab,1,A,Spring2023
PHI104,Introduction to Ethics,3,B,Spring2023
HIS201,Modern History,3,B,Spring2023
CSE421,Machine Learning,3,A-,Spring2023
