course_code,course_name,credits,grade,semester
ACT201,Intro to Financial Accounting,3,A-,Spring2019
MIS107,Introduction to Computers,3,D+,Spring2019
MKT202,Introduction to Marketing,3,A-,Spring2019
LAW200,Legal Environment of Business,3,W,Spring2019
BUS251,Business Communication,3,A,Summer2019
ACT202,Intro to Managerial Accounting,3,D+,Summer2019
ECO101,Intro to Microeconomics,3,A,Summer2019
LAW200,Legal Environment of Business,3,B,Fall2019
MGT368,Entrepreneurship,3,A,Fall2019
INB372,International Business,3,B,Fall2019
MGT212,Principles of Management,3,F,Fall2019
PHI401,Ethics / Philosophy,3,C-,Fall2019
ECO104,Intro to Macroeconomics,3,A,Spring2020
CHN101,Chinese Language,3,A-,Spring2020
BEN205,Bengali Literature,3,D,Spring2020
MGT212,Principles of Management,3,C,Spring2020
POL101,Intro to Political Science,3,A-,Spring2020
BIO103,Biology I,3,C+,Summer2020
MIS207,Management Information Systems,3,B,Summer2020
SOC101,Intro to Sociology,3,D+,Summer2020
ENV107,Environmental Science,3,B+,Summer2020
ENV107L,Environmental Science Lab,1,C-,Summer2020
HIS103,History of South Asia,3,C-,Fall2020
HRM340,Training and Development,3,B-,Fall2020
HIS101,Bangladesh History,3,C+,Fall2020
HRM380,Compensation Theory and Practice,3,A-,Spring2021
HRM450,Industrial Relations,3,A-,Spring2021
HRM470,Negotiations,3,A-,Spring2021
HRM370,Managerial Skill Development,3,C,Spring2021
HRM499,Special Topics in HRM,3,A,Summer2021
HRM360,Planning and Staffing,3,C+,Summer2021
