course_code,course_name,credits,grade,semester
ACT201,Intro to Financial Accounting,3,B,Spring2019
MIS107,Introduction to Computers,3,C-,Spring2019
ECO101,Intro to Microeconomics,3,B-,Spring2019
BUS251,Business Communication,3,B-,Summer2019
LAW200,Legal Environment of Business,3,C,Summer2019
INB372,International Business,3,B,Summer2019
MKT202,Introduction to Marketing,3,F,Summer2019
ECO104,Intro to Macroeconomics,3,A-,Fall2019
MGT212,Principles of Management,3,D+,Fall2019
MKT202,Introduction to Marketing,3,B+,Fall2019
MIS207,Management Information Systems,3,C+,Fall2019
ENG115,English Literature,3,A-,Spring2020
CHN101,Chinese Language,3,B,Spring2020
PHI401,Ethics / Philosophy,3,C,Spring2020
MGT368,Entrepreneurship,3,C-,Spring2020
POL104,Political Science,3,A-,Summer2020
SOC101,Intro to Sociology,3,B-,Summer2020
PAD201,Public Administration,3,D+,Summer2020
GEO205,Geography,3,C+,Summer2020
BIO103,Biology I,3,B-,Fall2020
BIO103L,Biology I Lab,1,C-,Fall2020
ACT202,Intro to Managerial Accounting,3,B,Fall2020
PSY101,Intro to Psychology,3,A,Fall2020
INB480,Global Business Strategy,3,C,Spring2021
INB400,International Trade and Finance,3,C+,Spring2021
HIS101,Bangladesh History,3,A-,Spring2021
HIS102,World Civilization,3,B,Spring2021
HIS103,History of South Asia,3,C+,Spring2021
INB415,Emerging Markets,3,F,Summer2021
INB350,International Business Negotiation,3,B-,Summer2021
INB490,Cross-Cultural Management,3,W,Summer2021
MKT382,International Marketing,3,C+,Summer2021
INB410,International Competitiveness,3,B,Summer2021
INB490,Cross-Cultural Management,3,C,Fall2021
INB495,Special Topics in INB,3,A-,Fall2021
INB415,Emerging Markets,3,C-,Fall2021
INB450,Global Entrepreneurship,3,C+,Spring2022
INB355,Country Risk Analysis,3,D,Spring2022
MKT417,Export-Import Management,3,B,Spring2022
BUS498,Internship,4,C-,Fall2023
