course_code,course_name,credits,grade,semester
ACT201,Intro to Financial Accounting,3,C+,Summer2019
MKT202,Introduction to Marketing,3,A-,Summer2019
LAW200,Legal Environment of Business,3,D,Summer2019
MIS107,Introduction to Computers,3,D,Summer2019
ENG103,Intermediate Composition,3,A,Summer2019
ACT202,Intro to Managerial Accounting,3,D+,Fall2019
INB372,International Business,3,B-,Fall2019
ECO101,Intro to Microeconomics,3,A,Fall2019
MGT212,Principles of Management,3,A-,Fall2019
MIS207,Management Information Systems,3,B+,Spring2020
ECO104,Intro to Macroeconomics,3,C+,Spring2020
MGT368,Entrepreneurship,3,C,Spring2020
ENG105,Advanced Composition,3,B+,Spring2020
POL101,Intro to Political Science,3,C,Summer2020
BUS251,Business Communication,3,B+,Summer2020
PHI401,Ethics / Philosophy,3,B,Summer2020
ENG115,English Literature,3,C+,Summer2020
PSY101,Intro to Psychology,3,A-,Fall2020
SOC101,Intro to Sociology,3,B+,Fall2020
ENV107,Environmental Science,3,D+,Fall2020
ENV107L,Environmental Science Lab,1,C+,Fall2020
BIO103,Biology I,3,B,Fall2020
BIO103L,Biology I Lab,1,B-,Fall2020
PBH101,Public Health,3,C+,Fall2020
HIS102,World Civilization,3,B,Spring2021
HIS103,History of South Asia,3,C-,Spring2021
FIN440,Corporate Finance,3,B+,Spring2021
HIS205,Modern History,3,C+,Spring2021
FIN444,International Financial Management,3,A,Summer2021
FIN464,Derivatives,3,F,Summer2021
FIN435,Investment Theory,3,A,Summer2021
FIN433,Financial Markets and Institutions,3,B-,Summer2021
FIN455,Financial Modelling Using Excel,3,F,Summer2021
FIN470,Insurance and Risk Management,3,C,Fall2021
FIN464,Derivatives,3,A,Fall2021
FIN455,Financial Modelling Using Excel,3,C,Fall2021
FIN410,Financial Statement Analysis,3,C+,Fall2021
FIN480,Behavioural Finance,3,B-,Fall2021
BUS498,Internship,4,B,Fall2024
