course_code,course_name,credits,grade,semester
MIS107,Introduction to Computers,3,C+,Summer2020
ACT201,Intro to Financial Accounting,3,B,Summer2020
BUS251,Business Communication,3,B-,Summer2020
LAW200,Legal Environment of Business,3,B-,Summer2020
MKT202,Introduction to Marketing,3,A-,Summer2020
ECO101,Intro to Microeconomics,3,B-,Fall2020
INB372,International Business,3,B-,Fall2020
ENG103,Intermediate Composition,3,A,Fall2020
ACT202,Intro to Managerial Accounting,3,A,Spring2021
MGT212,Principles of Management,3,B+,Spring2021
MGT368,Entrepreneurship,3,B+,Spring2021
MIS207,Management Information Systems,3,B,Spring2021
ENG105,Advanced Composition,3,C-,Spring2021
