course_code,course_name,credits,grade,semester
BUS251,Business Communication,3,D,Summer2020
MKT202,Introduction to Marketing,3,C-,Summer2020
MIS107,Introduction to Computers,3,A-,Summer2020
ECO101,Intro to Microeconomics,3,C,Summer2020
LAW200,Legal Environment of Business,3,B+,Summer2020
ACT201,Intro to Financial Accounting,3,W,Fall2020
INB372,International Business,3,C-,Fall2020
MIS207,Management Information Systems,3,B+,Fall2020
MGT212,Principles of Management,3,C-,Spring2021
ACT201,Intro to Financial Accounting,3,A,Spring2021
MGT368,Entrepreneurship,3,B,Spring2021
