course_code,course_name,credits,grade,semester
ACT201,Intro to Financial Accounting,3,B-,Spring2019
BUS251,Business Communication,3,B+,Spring2019
MKT202,Introduction to Marketing,3,C,Spring2019
ECO101,Intro to Microeconomics,3,C+,Summer2019
LAW200,Legal Environment of Business,3,C+,Summer2019
ECO104,Intro to Macroeconomics,3,C,Fall2019
MIS107,Introduction to Computers,3,A,Fall2019
MIS207,Management Information Systems,3,C+,Fall2019
ACT202,Intro to Managerial Accounting,3,C-,Fall2019
PHI401,Ethics / Philosophy,3,D+,Spring2020
MGT368,Entrepreneurship,3,D+,Spring2020
BEN205,Bengali Literature,3,B-,Summer2020
INB372,International Business,3,B,Summer2020
