course_code,course_name,credits,grade,semester
ACT201,Intro to Financial Accounting,3,C+,Spring2019
MKT202,Introduction to Marketing,3,B,Spring2019
MIS107,Introduction to Computers,3,B-,Spring2019
ENG103,Intermediate Composition,3,C,Spring2019
ACT202,Intro to Managerial Accounting,3,B,Summer2019
BUS251,Business Communication,3,A-,Summer2019
INB372,International Business,3,A-,Summer2019
PHI401,Ethics / Philosophy,3,A-,Fall2019
ENG105,Advanced Composition,3,B-,Fall2019
ECO101,Intro to Microeconomics,3,C+,Fall2019
LAW200,Legal Environment of Business,3,A,Fall2019
MGT368,Entrepreneurship,3,B-,Fall2019
BEN205,Bengali Literature,3,A-,Spring2020
MGT212,Principles of Management,3,A,Spring2020
ECO104,Intro to Macroeconomics,3,A,Spring2020
ENG115,English Literature,3,B,Spring2020
POL104,Political Science,3,B+,Summer2020
SOC101,Intro to Sociology,3,B-,Summer2020
PAD201,Public Administration,3,C,Summer2020
POL101,Intro to Political Science,3,A,Summer2020
ENV107,Environmental Science,3,A,Fall2020
ENV107L,Environmental Science Lab,1,A-,Fall2020
PHY107,Physics I,3,A-,Fall2020
PHY107L,Physics I Lab,1,B,Fall2020
BIO103,Biology I,3,B+,Fall2020
BIO103L,Biology I Lab,1,B-,Fall2020
PBH101,Public Health,3,A-,Fall2020
PBH101L,Public Health Lab,1,A-,Fall2020
HIS205,Modern History,3,C,Spring2021
MIS207,Management Information Systems,3,A,Spring2021
HIS102,World Civilization,3,A-,Spring2021
MIS310,Systems Analysis,3,B+,Summer2021
MIS320,IT for Managers,3,B+,Summer2021
MIS330,Database Systems,3,A,Summer2021
MIS499,Special Topics in MIS,3,C,Fall2021
MIS210,Computer Programming,3,A-,Fall2021
MIS410,Systems Design,3,B,Fall2021
MGT490,Project Management,3,C-,Fall2021
MIS450,IS Security,3,B+,Fall2021
MIS470,IT Project Management,3,B-,Spring2022
BUS498,Internship,4,C,Spring2024
