course_code,course_name,credits,grade,semester
MIS107,Introduction to Computers,3,C+,Summer2019
ACT201,Intro to Financial Accounting,3,A,Summer2019
BUS251,Business Communication,3,B,Summer2019
ECO101,Intro to Microeconomics,3,B+,Summer2019
MIS207,Management Information Systems,3,A,Fall2019
LAW200,Legal Environment of Business,3,B+,Fall2019
ACT202,Intro to Managerial Accounting,3,B+,Fall2019
MKT202,Introduction to Marketing,3,B,Fall2019
ECO104,Intro to Macroeconomics,3,A,Fall2019
MGT368,Entrepreneurship,3,C+,Spring2020
ENG115,English Literature,3,A-,Spring2020
MGT212,Principles of Management,3,B+,Spring2020
PHI401,Ethics / Philosophy,3,A-,Spring2020
INB372,International Business,3,B,Spring2020
POL101,Intro to Political Science,3,A,Summer2020
PAD201,Public Administration,3,B+,Summer2020
SOC101,Intro to Sociology,3,A-,Summer2020
GEO205,Geography,3,A,Summer2020
PHY107,Physics I,3,A,Fall2020
PHY107L,Physics I Lab,1,A,Fall2020
ENG103,Intermediate Composition,3,B+,Fall2020
ENV107,Environmental Science,3,A-,Fall2020
BIO103,Biology I,3,A-,Fall2020
BIO103L,Biology I Lab,1,B+,Fall2020
ENG105,Advanced Composition,3,B-,Spring2021
HRM360,Planning and Staffing,3,A-,Spring2021
HIS205,Modern History,3,B,Spring2021
HRM340,Training and Development,3,B,Spring2021
HIS101,Bangladesh History,3,A,Spring2021
HRM499,Special Topics in HRM,3,A,Summer2021
HRM450,Industrial Relations,3,A,Summer2021
HRM470,Negotiations,3,A-,Summer2021
HRM380,Compensation Theory and Practice,3,A,Summer2021
HRM370,Managerial Skill Development,3,B+,Fall2021
