course_code,course_name,credits,grade,semester
MKT202,Introduction to Marketing,3,B,Fall2021
BUS251,Business Communication,3,B,Fall2021
MIS107,Introduction to Computers,3,B,Fall2021
LAW200,Legal Environment of Business,3,C+,Fall2021
ECO101,Intro to Microeconomics,3,D,Spring2022
ACT201,Intro to Financial Accounting,3,A,Spring2022
MGT212,Principles of Management,3,B+,Spring2022
ACT202,Intro to Managerial Accounting,3,C+,Summer2022
MIS207,Management Information Systems,3,C-,Summer2022
INB372,International Business,3,B+,Summer2022
