course_code,course_name,credits,grade,semester
BUS251,Business Communication,3,C-,Spring2020
MIS107,Introduction to Computers,3,B+,Spring2020
ECO101,Intro to Microeconomics,3,D,Spring2020
ACT201,Intro to Financial Accounting,3,D,Spring2020
MGT212,Principles of Management,3,A-,Summer2020
MIS207,Management Information Systems,3,D+,Summer2020
LAW200,Legal Environment of Business,3,C-,Summer2020
ACT202,Intro to Managerial Accounting,3,B-,Summer2020
MKT202,Introduction to Marketing,3,D+,Summer2020
BEN205,Bengali Literature,3,W,Fall2020
MGT368,Entrepreneurship,3,C-,Fall2020
PHI401,Ethics / Philosophy,3,B-,Fall2020
ENG115,English Literature,3,D,Spring2021
BEN205,Bengali Literature,3,W,Spring2021
POL101,Intro to Political Science,3,B-,Spring2021
INB372,International Business,3,C-,Spring2021
ANT101,Anthropology,3,C-,Summer2021
ECO104,Intro to Macroeconomics,3,C-,Summer2021
ENV107,Environmental Science,3,C+,Summer2021
GEO205,Geography,3,C+,Summer2021
HRM340,Training and Development,3,A-,Fall2021
HIS205,Modern History,3,B,Fall2021
HIS101,Bangladesh History,3,B+,Fall2021
HIS102,World Civilization,3,B+,Fall2021
HRM450,Industrial Relations,3,B,Spring2022
HRM370,Managerial Skill Development,3,C,Spring2022
HRM470,Negotiations,3,C-,Spring2022
HRM360,Planning and Staffing,3,A,Spring2022
HRM380,Compensation Theory and Practice,3,A,Summer2022
HRM499,Special Topics in HRM,3,C+,Summer2022
